Entrantes,Espera,Desbordes,Transferencias,Contestadas,Contestadas20seg,Contestadas15seg,Abandonadas,TiempoConversacion,TiempoEspera
33612,11904,14230,7194,32390,26007,25527,1222,11980424,1097132
32028,11395,14290,6917,31313,27641,27326,715,11368868,976988
29322,10313,13434,6284,28882,26523,26275,440,10439966,878877
18406,6513,7205,4148,17863,15553,15372,543,6319090,509096
15770,5723,4950,3595,14739,11831,11673,1031,5190566,465372
34039,12076,13835,7281,32972,28615,28289,1067,12079243,1124745
33002,11780,14684,7338,32463,29742,29504,539,11679462,1045695
34159,12159,16273,7485,33299,29545,29241,860,11975722,1031394
32353,11424,15460,7146,31677,28901,28667,676,11088890,987793
33650,12089,15098,7267,32448,28625,28301,1202,11218988,1171965
